Name,Gender,Ethnicity,Name-Gender,Year,Number,Proportion,Proportion-Ethnicity
Sophie,Female,ASIAN AND PACI,Sophie-F,2011,25,0.000847831247668464,0.24509803921568626
Stella,Female,ASIAN AND PACI,Stella-F,2011,11,0.00037304574897412417,0.12087912087912088
Stephanie,Female,ASIAN AND PACI,Stephanie-F,2011,22,0.0007460914979482483,0.3055555555555556
Syeda,Female,ASIAN AND PACI,Syeda-F,2011,16,0.000542611998507817,1.0
Tanisha,Female,ASIAN AND PACI,Tanisha-F,2011,10,0.00033913249906738563,1.0
Tenzin,Female,ASIAN AND PACI,Tenzin-F,2011,26,0.0008817444975752027,1.0
Tiffany,Female,ASIAN AND PACI,Tiffany-F,2011,54,0.0018313154949638824,0.6923076923076923
Tina,Female,ASIAN AND PACI,Tina-F,2011,14,0.00047478549869433987,1.0
Vanessa,Female,ASIAN AND PACI,Vanessa-F,2011,15,0.0005086987486010784,0.2112676056338028
Vicky,Female,ASIAN AND PACI,Vicky-F,2011,32,0.001085223997015634,1.0
Victoria,Female,ASIAN AND PACI,Victoria-F,2011,22,0.0007460914979482483,0.0859375
Vivian,Female,ASIAN AND PACI,Vivian-F,2011,44,0.0014921829958964967,0.5945945945945946
Wendy,Female,ASIAN AND PACI,Wendy-F,2011,16,0.000542611998507817,0.5714285714285714
Winnie,Female,ASIAN AND PACI,Winnie-F,2011,25,0.000847831247668464,1.0
Xin,Female,ASIAN AND PACI,Xin-F,2011,18,0.0006104384983212941,1.0
Yu,Female,ASIAN AND PACI,Yu-F,2011,13,0.00044087224878760134,1.0
Zahra,Female,ASIAN AND PACI,Zahra-F,2011,19,0.0006443517482280327,1.0
Zainab,Female,ASIAN AND PACI,Zainab-F,2011,23,0.000780004747854987,1.0
Zara,Female,ASIAN AND PACI,Zara-F,2011,14,0.00047478549869433987,0.56
Zoe,Female,ASIAN AND PACI,Zoe-F,2011,25,0.000847831247668464,0.11682242990654206
Aaliyah,Female,BLACK NON HISP,Aaliyah-F,2011,69,0.002340014243564961,0.5227272727272727
Abigail,Female,BLACK NON HISP,Abigail-F,2011,51,0.0017295757452436666,0.19767441860465115
Addison,Female,BLACK NON HISP,Addison-F,2011,13,0.00044087224878760134,0.40625
Aicha,Female,BLACK NON HISP,Aicha-F,2011,14,0.00047478549869433987,1.0
Aisha,Female,BLACK NON HISP,Aisha-F,2011,10,0.00033913249906738563,0.2777777777777778
Aissatou,Female,BLACK NON HISP,Aissatou-F,2011,13,0.00044087224878760134,1.0
Alana,Female,BLACK NON HISP,Alana-F,2011,18,0.0006104384983212941,0.6206896551724138
Alexis,Female,BLACK NON HISP,Alexis-F,2011,13,0.00044087224878760134,0.325
Alicia,Female,BLACK NON HISP,Alicia-F,2011,11,0.00037304574897412417,0.2391304347826087
Aliyah,Female,BLACK NON HISP,Aliyah-F,2011,23,0.000780004747854987,0.40350877192982454
Alyssa,Female,BLACK NON HISP,Alyssa-F,2011,35,0.0011869637467358497,0.23026315789473684
Amanda,Female,BLACK NON HISP,Amanda-F,2011,17,0.0005765252484145556,0.20238095238095238
Amani,Female,BLACK NON HISP,Amani-F,2011,15,0.0005086987486010784,1.0
Amaya,Female,BLACK NON HISP,Amaya-F,2011,32,0.001085223997015634,0.5079365079365079
Amber,Female,BLACK NON HISP,Amber-F,2011,18,0.0006104384983212941,0.32142857142857145
Amelia,Female,BLACK NON HISP,Amelia-F,2011,19,0.0006443517482280327,0.1484375
Amina,Female,BLACK NON HISP,Amina-F,2011,14,0.00047478549869433987,0.45161290322580644
Aminata,Female,BLACK NON HISP,Aminata-F,2011,25,0.000847831247668464,1.0
Amira,Female,BLACK NON HISP,Amira-F,2011,15,0.0005086987486010784,0.5769230769230769
Amirah,Female,BLACK NON HISP,Amirah-F,2011,22,0.0007460914979482483,1.0
Amiyah,Female,BLACK NON HISP,Amiyah-F,2011,20,0.0006782649981347713,1.0
Anaya,Female,BLACK NON HISP,Anaya-F,2011,12,0.00040695899888086275,0.5217391304347826
Angel,Female,BLACK NON HISP,Angel-F,2011,16,0.000542611998507817,0.42105263157894735
Angelina,Female,BLACK NON HISP,Angelina-F,2011,11,0.00037304574897412417,0.06918238993710692
Aniya,Female,BLACK NON HISP,Aniya-F,2011,19,0.0006443517482280327,1.0
Aniyah,Female,BLACK NON HISP,Aniyah-F,2011,35,0.0011869637467358497,0.7142857142857143
Aria,Female,BLACK NON HISP,Aria-F,2011,13,0.00044087224878760134,0.52
Ariana,Female,BLACK NON HISP,Ariana-F,2011,13,0.00044087224878760134,0.11206896551724138
Arianna,Female,BLACK NON HISP,Arianna-F,2011,38,0.0012887034964560655,0.24675324675324675
Ariel,Female,BLACK NON HISP,Ariel-F,2011,32,0.001085223997015634,0.5079365079365079
Arielle,Female,BLACK NON HISP,Arielle-F,2011,20,0.0006782649981347713,1.0
Ashley,Female,BLACK NON HISP,Ashley-F,2011,16,0.000542611998507817,0.05755395683453238
Aubrey,Female,BLACK NON HISP,Aubrey-F,2011,16,0.000542611998507817,0.3137254901960784
Autumn,Female,BLACK NON HISP,Autumn-F,2011,26,0.0008817444975752027,0.7222222222222222
Ava,Female,BLACK NON HISP,Ava-F,2011,40,0.0013565299962695425,0.14336917562724014
Brianna,Female,BLACK NON HISP,Brianna-F,2011,38,0.0012887034964560655,0.19289340101522842
Brielle,Female,BLACK NON HISP,Brielle-F,2011,35,0.0011869637467358497,0.7608695652173914
Brooke,Female,BLACK NON HISP,Brooke-F,2011,12,0.00040695899888086275,0.26666666666666666
Camille,Female,BLACK NON HISP,Camille-F,2011,12,0.00040695899888086275,1.0
Chelsea,Female,BLACK NON HISP,Chelsea-F,2011,37,0.0012547902465493267,0.4625
Cheyenne,Female,BLACK NON HISP,Cheyenne-F,2011,10,0.00033913249906738563,1.0
Chloe,Female,BLACK NON HISP,Chloe-F,2011,72,0.0024417539932851764,0.21621621621621623
Christina,Female,BLACK NON HISP,Christina-F,2011,17,0.0005765252484145556,0.27419354838709675
Dakota,Female,BLACK NON HISP,Dakota-F,2011,15,0.0005086987486010784,1.0
Danielle,Female,BLACK NON HISP,Danielle-F,2011,20,0.0006782649981347713,0.425531914893617
Destiny,Female,BLACK NON HISP,Destiny-F,2011,35,0.0011869637467358497,0.5072463768115942
Dylan,Female,BLACK NON HISP,Dylan-F,2011,11,0.00037304574897412417,0.3548387096774194
Eden,Female,BLACK NON HISP,Eden-F,2011,11,0.00037304574897412417,0.3142857142857143
Egypt,Female,BLACK NON HISP,Egypt-F,2011,15,0.0005086987486010784,1.0
Elizabeth,Female,BLACK NON HISP,Elizabeth-F,2011,22,0.0007460914979482483,0.11
Emily,Female,BLACK NON HISP,Emily-F,2011,30,0.0010173974972021568,0.07425742574257425
Emma,Female,BLACK NON HISP,Emma-F,2011,15,0.0005086987486010784,0.03597122302158273
Erin,Female,BLACK NON HISP,Erin-F,2011,10,0.00033913249906738563,0.2631578947368421
Essence,Female,BLACK NON HISP,Essence-F,2011,11,0.00037304574897412417,1.0
Eva,Female,BLACK NON HISP,Eva-F,2011,11,0.00037304574897412417,0.0763888888888889
Faith,Female,BLACK NON HISP,Faith-F,2011,46,0.001560009495709974,0.647887323943662
Fanta,Female,BLACK NON HISP,Fanta-F,2011,15,0.0005086987486010784,1.0
Fatima,Female,BLACK NON HISP,Fatima-F,2011,24,0.0008139179977617255,0.4
Fatou,Female,BLACK NON HISP,Fatou-F,2011,12,0.00040695899888086275,1.0
Fatoumata,Female,BLACK NON HISP,Fatoumata-F,2011,51,0.0017295757452436666,1.0
Gabriella,Female,BLACK NON HISP,Gabriella-F,2011,24,0.0008139179977617255,0.11320754716981132
Gabrielle,Female,BLACK NON HISP,Gabrielle-F,2011,55,0.001865228744870621,0.6547619047619048
Genesis,Female,BLACK NON HISP,Genesis-F,2011,15,0.0005086987486010784,0.13761467889908258
Grace,Female,BLACK NON HISP,Grace-F,2011,15,0.0005086987486010784,0.0847457627118644
Hailey,Female,BLACK NON HISP,Hailey-F,2011,31,0.0010513107471088955,0.1497584541062802
Hannah,Female,BLACK NON HISP,Hannah-F,2011,24,0.0008139179977617255,0.17777777777777778
Harmony,Female,BLACK NON HISP,Harmony-F,2011,20,0.0006782649981347713,1.0
Hawa,Female,BLACK NON HISP,Hawa-F,2011,15,0.0005086987486010784,1.0
Heaven,Female,BLACK NON HISP,Heaven-F,2011,32,0.001085223997015634,0.6808510638297872
Imani,Female,BLACK NON HISP,Imani-F,2011,28,0.0009495709973886797,0.717948717948718
Isabella,Female,BLACK NON HISP,Isabella-F,2011,35,0.0011869637467358497,0.05902192242833052
Jada,Female,BLACK NON HISP,Jada-F,2011,52,0.0017634889951504053,0.7123287671232876
Jade,Female,BLACK NON HISP,Jade-F,2011,18,0.0006104384983212941,0.2647058823529412
Jaliyah,Female,BLACK NON HISP,Jaliyah-F,2011,10,0.00033913249906738563,1.0
Janelle,Female,BLACK NON HISP,Janelle-F,2011,11,0.00037304574897412417,0.4782608695652174
Janiya,Female,BLACK NON HISP,Janiya-F,2011,13,0.00044087224878760134,1.0
Janiyah,Female,BLACK NON HISP,Janiyah-F,2011,12,0.00040695899888086275,1.0
Jasmine,Female,BLACK NON HISP,Jasmine-F,2011,32,0.001085223997015634,0.2711864406779661
Jayda,Female,BLACK NON HISP,Jayda-F,2011,16,0.000542611998507817,0.6153846153846154
Jayla,Female,BLACK NON HISP,Jayla-F,2011,38,0.0012887034964560655,0.5352112676056338
Jordyn,Female,BLACK NON HISP,Jordyn-F,2011,16,0.000542611998507817,0.5925925925925926
Julia,Female,BLACK NON HISP,Julia-F,2011,10,0.00033913249906738563,0.05813953488372093
Kai,Female,BLACK NON HISP,Kai-F,2011,10,0.00033913249906738563,1.0
Kaitlyn,Female,BLACK NON HISP,Kaitlyn-F,2011,21,0.0007121782480415098,0.2625
Kaliyah,Female,BLACK NON HISP,Kaliyah-F,2011,14,0.00047478549869433987,1.0
Kamiyah,Female,BLACK NON HISP,Kamiyah-F,2011,10,0.00033913249906738563,1.0
Kayla,Female,BLACK NON HISP,Kayla-F,2011,78,0.002645233492725608,0.3786407766990291
Kaylee,Female,BLACK NON HISP,Kaylee-F,2011,25,0.000847831247668464,0.17985611510791366
Kelsey,Female,BLACK NON HISP,Kelsey-F,2011,11,0.00037304574897412417,1.0
Kendra,Female,BLACK NON HISP,Kendra-F,2011,12,0.00040695899888086275,1.0
Kennedy,Female,BLACK NON HISP,Kennedy-F,2011,13,0.00044087224878760134,1.0
Kenya,Female,BLACK NON HISP,Kenya-F,2011,10,0.00033913249906738563,1.0
Khloe,Female,BLACK NON HISP,Khloe-F,2011,42,0.0014243564960830196,0.375
Kiara,Female,BLACK NON HISP,Kiara-F,2011,13,0.00044087224878760134,0.2653061224489796
Kimora,Female,BLACK NON HISP,Kimora-F,2011,23,0.000780004747854987,1.0
Kyla,Female,BLACK NON HISP,Kyla-F,2011,12,0.00040695899888086275,1.0
Kylie,Female,BLACK NON HISP,Kylie-F,2011,19,0.0006443517482280327,0.2375
Laila,Female,BLACK NON HISP,Laila-F,2011,39,0.001322616746362804,0.42857142857142855
Lauren,Female,BLACK NON HISP,Lauren-F,2011,27,0.0009156577474819412,0.3103448275862069
Layla,Female,BLACK NON HISP,Layla-F,2011,30,0.0010173974972021568,0.2702702702702703
Leah,Female,BLACK NON HISP,Leah-F,2011,39,0.001322616746362804,0.10803324099722991
Leilani,Female,BLACK NON HISP,Leilani-F,2011,13,0.00044087224878760134,0.2826086956521739
London,Female,BLACK NON HISP,London-F,2011,92,0.003120018991419948,0.7131782945736435
Londyn,Female,BLACK NON HISP,Londyn-F,2011,25,0.000847831247668464,1.0
Lyric,Female,BLACK NON HISP,Lyric-F,2011,13,0.00044087224878760134,1.0
Mackenzie,Female,BLACK NON HISP,Mackenzie-F,2011,10,0.00033913249906738563,0.35714285714285715
Madison,Female,BLACK NON HISP,Madison-F,2011,176,0.005968731983585987,0.47058823529411764
Makayla,Female,BLACK NON HISP,Makayla-F,2011,67,0.0022721877437514837,0.6036036036036037
Malia,Female,BLACK NON HISP,Malia-F,2011,17,0.0005765252484145556,1.0
Maliyah,Female,BLACK NON HISP,Maliyah-F,2011,14,0.00047478549869433987,1.0
Mariah,Female,BLACK NON HISP,Mariah-F,2011,21,0.0007121782480415098,0.3888888888888889
Mariam,Female,BLACK NON HISP,Mariam-F,2011,32,0.001085223997015634,0.6530612244897959
Mariama,Female,BLACK NON HISP,Mariama-F,2011,22,0.0007460914979482483,1.0
Maryam,Female,BLACK NON HISP,Maryam-F,2011,10,0.00033913249906738563,0.37037037037037035
Maya,Female,BLACK NON HISP,Maya-F,2011,25,0.000847831247668464,0.1282051282051282
Mckenzie,Female,BLACK NON HISP,Mckenzie-F,2011,25,0.000847831247668464,1.0
Melanie,Female,BLACK NON HISP,Melanie-F,2011,18,0.0006104384983212941,0.12949640287769784
Mia,Female,BLACK NON HISP,Mia-F,2011,36,0.0012208769966425882,0.08633093525179857
Michelle,Female,BLACK NON HISP,Michelle-F,2011,13,0.00044087224878760134,0.09219858156028368
Mikayla,Female,BLACK NON HISP,Mikayla-F,2011,21,0.0007121782480415098,0.3559322033898305
Milan,Female,BLACK NON HISP,Milan-F,2011,28,0.0009495709973886797,1.0
Morgan,Female,BLACK NON HISP,Morgan-F,2011,31,0.0010513107471088955,0.6078431372549019
Mya,Female,BLACK NON HISP,Mya-F,2011,32,0.001085223997015634,0.5245901639344263
Nadia,Female,BLACK NON HISP,Nadia-F,2011,16,0.000542611998507817,0.5333333333333333
Nahla,Female,BLACK NON HISP,Nahla-F,2011,13,0.00044087224878760134,1.0
Nana,Female,BLACK NON HISP,Nana-F,2011,10,0.00033913249906738563,1.0
Naomi,Female,BLACK NON HISP,Naomi-F,2011,34,0.0011530504968291111,0.3333333333333333
Natalia,Female,BLACK NON HISP,Natalia-F,2011,12,0.00040695899888086275,0.14634146341463414
Natalie,Female,BLACK NON HISP,Natalie-F,2011,11,0.00037304574897412417,0.09401709401709402
Nevaeh,Female,BLACK NON HISP,Nevaeh-F,2011,60,0.0020347949944043136,0.6521739130434783
Nia,Female,BLACK NON HISP,Nia-F,2011,38,0.0012887034964560655,1.0
Nyla,Female,BLACK NON HISP,Nyla-F,2011,43,0.0014582697459897581,0.7288135593220338
Nylah,Female,BLACK NON HISP,Nylah-F,2011,42,0.0014243564960830196,1.0
Olivia,Female,BLACK NON HISP,Olivia-F,2011,52,0.0017634889951504053,0.11818181818181818
Paige,Female,BLACK NON HISP,Paige-F,2011,33,0.0011191372469223726,0.717391304347826
Paris,Female,BLACK NON HISP,Paris-F,2011,32,0.001085223997015634,1.0
Peyton,Female,BLACK NON HISP,Peyton-F,2011,20,0.0006782649981347713,1.0
Princess,Female,BLACK NON HISP,Princess-F,2011,16,0.000542611998507817,1.0
